"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"217","left","no","57276","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","true","200","1","0","blur","yes"
"153","left","no","58941","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","j","false","200","2","0","blur","yes"
"null","left","no","61702","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","undefined","false","200","3","0","blur","yes"
"445","left","yes","63663","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","j","false","200","4","0","blur","yes"
"231","right","no","65414","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","false","150","5","0","blur","yes"
"996","right","no","67921","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","false","150","6","0","blur","yes"
"974","right","no","70421","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","j","true","150","7","0","blur","yes"
"null","right","yes","73187","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","undefined","true","150","8","0","blur","yes"
"416","right","no","75115","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","j","true","200","9","0","blur","yes"
"112","left","no","76733","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","true","200","10","0","blur","yes"
"null","left","no","79503","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","undefined","false","200","11","0","blur","yes"
"121","right","no","81152","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","false","200","12","0","blur","yes"
"null","left","yes","83918","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","undefined","true","200","13","0","blur","yes"
"519","right","yes","85953","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","j","false","250","14","0","blur","yes"
"976","left","no","88442","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","true","200","15","0","blur","yes"
"495","right","no","90452","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","j","true","200","16","0","blur","yes"
"765","left","yes","92725","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","84ts3xdr1cdqd1nkkhfz1n69qkundq3n","f","false","200","17","0","blur","yes"
