"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"826","right","no","90448","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","f","false","200","1","0","blur","yes"
"708","left","no","92691","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","f","true","200","2","0","blur","yes"
"135","left","no","94337","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","j","false","200","3","0","blur","yes"
"1104","right","yes","96953","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","f","false","200","4","0","blur","yes"
"null","right","no","99714","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","undefined","false","150","5","0","blur","yes"
"498","left","no","101722","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","j","false","150","6","0","blur","yes"
"617","left","yes","103848","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","j","false","150","7","0","blur","yes"
"651","right","no","106007","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","f","false","100","8","0","blur","yes"
"863","right","no","108386","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","j","true","100","9","0","blur","yes"
"null","right","yes","111168","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","u5l0v4eqbxropswxz33uo0h4zm5917n7","undefined","true","100","10","0","blur","yes"
