"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"329","right","yes","12391","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","200","1","0","focus","yes"
"877","left","no","14782","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","150","2","0","focus","yes"
"484","left","yes","16780","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","false","150","3","0","focus","yes"
"null","right","no","19540","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","100","4","0","focus","yes"
"696","right","no","21745","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","false","100","5","0","focus","yes"
"404","right","no","23659","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","true","100","6","0","focus","yes"
"null","left","no","26433","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","100","7","0","focus","yes"
"936","left","no","28882","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","100","8","0","focus","yes"
"373","right","no","30769","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","false","100","9","0","focus","yes"
"1179","right","no","33464","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","false","100","10","0","focus","yes"
"186","right","no","35157","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","true","100","11","0","focus","yes"
"null","left","no","37940","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","100","12","0","focus","yes"
"506","left","yes","39975","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","100","13","0","focus","yes"
"679","left","no","42163","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","50","14","0","focus","yes"
"null","left","no","44930","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","50","15","0","focus","yes"
"371","right","yes","46810","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","false","50","16","0","focus","yes"
"null","right","yes","49576","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","true","50","17","0","focus","yes"
"717","left","yes","51816","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","100","18","0","focus","yes"
"174","left","no","53532","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","true","50","19","0","focus","yes"
"1065","left","no","56110","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","50","20","0","focus","yes"
"271","left","no","57895","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","true","50","21","0","focus","yes"
"null","right","no","60659","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","50","22","0","focus","yes"
"351","right","no","62519","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","true","50","23","0","focus","yes"
"null","right","no","65285","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","50","24","0","focus","yes"
"717","left","yes","67511","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","j","false","50","25","0","focus","yes"
"567","left","no","69590","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","true","50","26","0","focus","yes"
"923","right","yes","72033","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","false","50","27","0","focus","yes"
"null","right","no","74793","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","undefined","false","50","28","0","focus","yes"
"421","left","no","76727","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","kd6hk7kkdp5wr9k9qro5n3hccyrpj3po","f","true","50","29","0","focus","yes"
